temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.259649048,19.88086437,0.190800745,314187.3051,102239.0125,1.50E+08,692.0634397,0,0.188744234,0.027026266,0.000765043,0.001604639,0.002868489,0.104445955,0.174545374,594604.9104,356.7688923,672.8266655,19.23677425,1252.529559,0,1.23E+07
4,0.278666762,19.43593801,0.188768255,334728.6489,108930.5197,1.49E+08,738.9476088,0,0.187833568,0.029078406,0.000887929,0.001653956,0.002941425,0.103912971,0.173691746,608216.5712,364.9360249,716.8349624,22.1126464,1236.657168,0,1.31E+07
5,0.298800316,19.02346499,0.186664628,356151.9582,115914.7963,1.48E+08,788.1196993,1.29E-13,0.186867763,0.031263253,0.00102923,0.001703432,0.003012672,0.103343634,0.172780016,621404.123,372.8486878,762.7475104,25.37218885,1220.051744,1.07E-05,1.39E+07
6,0.145475086,1.87E+01,0.200000229,0.249870308,0.027785167,3.34E+07,0.003972966,0.038783097,0.138651055,0.026804509,0.146667074,0.095930453,0.010424043,0.016803399,0.025956232,633818.9361,5.56E-07,0.003042885,0.000930081,0.013121808,0.144158055,2.949798545
7,0.34254687,18.29254451,0.182252265,401595.1128,130755.264,1.46E+08,893.4249434,7.96E-09,0.184762216,0.036056527,0.001377536,0.001802287,0.003148409,0.102085557,0.17076746,646233.7491,387.7466215,860.205722,33.21922138,1184.608866,0.75272471,1.57E+07
8,0.366215417,17.97265931,0.179950173,425574.6169,138605.042,1.45E+08,949.5874957,7.89E-09,0.183618629,0.038677794,0.00159058,0.001851342,0.00321193,0.101391012,0.169658705,657735.6979,394.6479064,911.6830355,37.90446017,1165.760263,0.795145943,1.66E+07
9,0.391108549,17.68249677,0.177588127,450352.7836,146734.3437,1.44E+08,1008.092448,7.80E-09,0.182412258,0.041457364,0.001834188,0.001899897,0.003271854,0.100648518,0.168475912,668528.8718,401.1239192,964.9235283,43.16891926,1146.152914,0.838525842,1.76E+07
10,0.417237966,17.42173526,0.175169813,475889.3629,155136.3472,1.43E+08,1068.928858,7.72E-09,0.181141799,0.044401578,0.002112345,0.001947738,0.003327594,0.099854477,0.16721446,678535.1422,407.127782,1019.857902,49.07095616,1125.782344,0.882710132,1.86E+07
11,0.444606012,17.19022464,0.172699213,502134.739,163802.9147,1.42E+08,1132.074205,7.62E-09,0.179806339,0.047516657,0.00242949,0.001994627,0.003378516,0.09900493,0.165869432,687673.3646,412.6108074,1076.401463,55.672742,1104.643991,0.927517753,1.97E+07
12,0.473203563,16.98800761,0.170180563,529028.9389,172724.7003,1.40E+08,1197.493334,7.52E-09,0.178405453,0.05080864,0.002790556,0.002040302,0.003423934,0.098095518,0.164435591,695859.0956,417.5223284,1134.453162,63.04017147,1082.732574,0.972738192,2.07E+07
13,0.503007533,16.81534756,0.167618304,556500.4765,181891.3003,1.39E+08,1265.137221,7.42E-09,0.176939319,0.054283316,0.00320101,0.002084468,0.003463106,0.097121423,0.162907351,703004.1793,421.8094507,1193.894531,71.2426904,1060.041334,1.018128942,2.18E+07
14,0.533977926,16.67276432,0.165017014,584464.9836,191291.4472,1.38E+08,1334.941496,7.30E-09,0.175408843,0.057946156,0.0036669,0.002126802,0.003495236,0.096077308,0.161278748,709016.1767,425.4167098,1254.588476,80.3530202,1036.561144,1.063411573,2.30E+07
15,0.566054325,16.56108028,0.162381341,612823.5733,200913.2523,1.37E+08,1406.824611,6.97E-09,0.173815806,0.061802229,0.004194895,0.002166945,0.003519465,0.094957247,0.159543406,713797.6153,428.2856214,1316.377858,90.44675331,1012.279485,1.076465066,2.41E+07
16,0.599151756,16.48147967,0.159715917,641460.8723,210744.4962,1.36E+08,1480.685577,6.84E-09,0.172163027,0.065856116,0.004792334,0.002204496,0.003534877,0.093754648,0.157694495,717245.0441,430.3541137,1379.083789,101.6017874,987.1793095,1.117699413,2.53E+07
17,0.63315577,16.43558518,0.157025268,670242.6408,220772.9668,1.34E+08,1556.40108,6.69E-09,0.170454552,0.070111819,0.005467265,0.002239014,0.003540491,0.092462161,0.155724691,719247.8687,431.5558291,1442.503525,113.8975553,961.2377733,1.157438625,2.65E+07
18,0.667916627,16.42555715,0.154313712,699012.9108,230986.8467,1.33E+08,1633.82189,6.76E-09,0.168695853,0.074572667,0.006228495,0.002270007,0.00353527,0.091071579,0.153626122,719686.9796,431.8193006,1506.40789,127.4140004,934.4248971,1.236441113,2.77E+07
19,0.703242418,16.45422314,0.151585254,727590.5458,241375.1411,1.32E+08,1712.768303,6.60E-09,0.166894063,0.079241214,0.007085629,0.002296928,0.003518111,0.089573729,0.15139032,718433.1652,431.0669999,1570.538074,142.2302295,906.7021571,1.275494357,2.90E+07
20,0.050414819,1.66E+01,0.199384774,233.1769559,145.3354529,3.37E+07,19.41973253,3.47E-08,0.036940296,0.353444953,0.026396311,0.000110008,1.59E-07,0.065273042,0.017835197,713299.8067,0.052480275,17.27463944,2.145093082,1.679550342,0.018215448,17440.20577
21,0.001009818,1.67E+01,0.200003998,4.50E-05,8.37E-06,3.34E+07,7.97E-08,0.005185373,0.053537831,0.092283399,0.000122972,0.14041597,0,2.38E-09,0.208454457,706683.3972,1.32E-06,7.97E-08,0,2.36E-07,1.03E-05,0.000976682
22,0.809876249,16.81465607,0.143331191,809887.8992,273498.9,1.27E+08,1956.37876,5.80E-09,0.161331631,0.094504856,0.010341309,0.002346851,0.003383276,0.084327604,0.143764467,703033.0896,421.8268022,1761.16292,195.2158408,817.5325963,1.313541446,3.28E+07
23,0.844381601,17.04701096,0.140564512,835221.9695,284508.188,1.26E+08,2038.793728,5.86E-09,0.159470991,0.100010737,0.01169543,0.002350701,0.003306472,0.082284948,0.140880714,693450.5784,416.0772001,1822.860653,215.9330743,785.5675908,1.397439432,3.41E+07
24,0.877517641,17.35065394,0.137791814,858911.6429,295666.2284,1.25E+08,2121.129971,5.65E-09,0.157637116,0.105721996,0.013206759,0.002346684,0.003211692,0.080069802,0.137805946,681314.9321,408.7956914,1882.878079,238.2518919,752.3279268,1.415617248,3.55E+07
25,0.908607097,17.73897068,0.135012506,880513.8169,306977.0971,1.23E+08,2202.853307,5.42E-09,0.155852934,0.111634513,0.014890417,0.002333763,0.003097772,0.077664081,0.134526514,666400.5383,399.8469065,1940.665475,262.1878314,717.7014176,1.427131942,3.68E+07
26,0.936832181,18.2296604,0.132224757,899517.7518,318448.7919,1.22E+08,2283.326454,5.19E-09,0.154145128,0.117742784,0.016762521,0.002310788,0.002963666,0.075047552,0.131027556,648462.964,389.0841829,1995.598093,287.7283612,681.5641478,1.431001068,3.82E+07
27,0.961209238,18.84643688,0.129425368,915338.2978,330093.3176,1.20E+08,2361.792716,4.93E-09,0.15254447,0.124039877,0.018840192,0.002276474,0.002808511,0.072197602,0.127292869,627241.09,376.3508467,2046.967814,314.8249019,643.7833246,1.426188688,3.96E+07
28,255.8748338,1.97E+01,0.2,1.90E-19,8.90E-20,3.34E+07,2.74E-10,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,6.01E+05,0,2.74E-10,0,4.72E-22,3.14E-18,2.30E-18
29,0.993472789,20.59998514,0.123771788,934689.9986,353968.121,1.17E+08,2508.989056,0,0.14981013,0.137165551,0.02368573,0.002167963,0.002433161,0.065693525,0.119043939,573847.9663,344.3145182,2135.733451,373.2556044,562.7464766,0,4.25E+07
30,0.998270948,21.84567679,0.120902914,936646.7348,366238.3727,1.15E+08,2575.468256,0,0.148761336,0.143973024,0.026492825,0.002090412,0.002213235,0.061979917,0.11448925,541125.8112,324.680898,2171.244769,404.2234868,519.2333382,0,4.39E+07
31,0.992957786,23.45262019,0.117993675,932286.2662,378760.0597,1.13E+08,2635.433257,0,0.147990076,0.150927184,0.029583911,0.001994787,0.001973159,0.057913264,0.109617619,504048.5661,302.4341801,2199.439333,435.9939238,473.5862597,0,4.55E+07
32,0.97516693,25.56431007,0.115032208,920660.8237,391553.9792,1.11E+08,2687.359193,0,0.147552179,0.158014061,0.032980999,0.00187892,0.001715215,0.053454824,0.104403802,462412.6191,277.4521956,2219.173846,468.1853475,425.7487587,0,4.70E+07
33,0.942099239,28.41070246,0.112003681,900799.9469,404635.8806,1.08E+08,2729.583135,2.63E-09,0.1475092,0.165218441,0.036707005,0.001740414,0.001443101,0.04856163,0.098820206,416084.7359,249.6549248,2229.262709,500.3204262,375.7228114,0.96390754,4.86E+07
34,0.890451226,32.3834149,0.108891195,871764.5589,418017.2295,1.06E+08,2760.37764,0,0.147928613,0.172524008,0.040785713,0.001576634,0.00116234,0.043185954,0.092836738,365040.5497,219.0279802,2228.548478,531.8291626,323.592151,0,5.02E+07
35,0.816332469,38.20872501,0.105668575,832686.2543,431692.2762,1.04E+08,2777.959617,1.88E-09,0.148883759,0.179913388,0.045241714,0.001384673,0.000880879,0.037275016,0.086420569,309386.394,185.6348532,2215.916827,562.0427897,269.5360039,0.728980575,5.18E+07
36,0.715171447,47.39624845,0.102299334,782867.8915,445646.9314,1.01E+08,2780.673014,1.48E-09,0.150454038,0.187368411,0.050100369,0.001161381,0.000609684,0.030770054,0.079536062,249413.4041,149.6504597,2190.447661,590.2253536,213.8544572,0.587028185,5.35E+07
37,0.581607207,63.68479657,0.098714296,721849.9567,459848.8334,9.79E+07,2767.065351,0,0.15272481,0.194870314,0.055387768,0.000903364,0.000363623,0.023605475,0.072144646,185621.3761,111.3746819,2151.472397,615.5929547,156.9722831,0,5.52E+07
38,0.387408454,1.50E+02,0.200069356,1.28203542,0.924352336,3.34E+07,0.005104315,1.50E-07,0.01435991,0.234481359,0.070094031,1.01E-06,0.097956774,1.09E-05,0.083095875,1.18E+05,0.00696263,0.003917815,0.0011865,0.001363162,0.021334641,110.8653879
39,0.191109414,236.8215166,0.089883356,566141.597,488833.6906,9.16E+07,2687.32957,2.88E-10,0.159742594,0.209943806,0.067358631,0.000269484,3.20E-05,0.006980175,0.055673347,49916.326,29.95021794,2032.477579,654.8519902,41.84279369,0.11771842,5.87E+07
40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
